"Hyponim","Hypernim","Text","Link"
"КАВЕРНА","Полость","КАВЕРНА (лат. caverna) - полость, возникающая в органе при разрушении его тканей патологическим процессом (преимущественно в легких при туберкулезе).","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%B2%D0%B5%D1%80%D0%BD%D0%B4"
"КАВЕРНА","Некроз","Каверна-(от лат. caverna ≈ пещера, полость), полость, возникающая в органах тела при разрушении и омертвении (некрозе) тканей и последующем разжижении омертвевших масс.","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%B2%D0%B5%D1%80%D0%BD%D0%B3"
"КАВЕРНА","Разрушение","Разрушение контактирующих поверхностей проявляются в появления мелких каверн (полостей), в которых накапливаются продукты износа.","https://ru.wikipedia.org/wiki/%D0%A4%D1%80%D0%B5%D1%82%D1%82%D0%B8%D0%BD%D0%B3%D0%BE%D0%B2%D1%8B%D0%B9_%D0%B8%D0%B7%D0%BD%D0%BE%D1%81"
"КАВЕРНА","Пещера","Каверна-(от лат. caverna ≈ пещера, полость), полость, возникающая в органах тела при разрушении и омертвении (некрозе) тканей и последующем разжижении омертвевших масс.","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%B2%D0%B5%D1%80%D0%BD%D0%B1"
"КАВЕРНА","Пропасть","Лучшие карты и графики висели на стенах бездонной пропасти: эта каверна площадью двести квадратных футов и глубиной шестьдесят футов образовалась, видимо, на месте бывшего учебного центра или чего-то в этом роде.","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%B2%D0%B5%D1%80%D0%BD%D0%B0"
"КАГЭБЭШНИК","Сотрудник","Кагэбэшник – сотрудник КГБ","https://ru.wikipedia.org/wiki/%D0%93%D0%91"
"КАГЭБЭШНИК","Должность","""Депутат-кагэбэшник"" подал заявление об освобождении от должности","https://regnum.ru/news/polit/1718593.html"
"КАГЭБЭШНИК","работник службы безопасности","кагэбэшник - работник службы безопасности (первоначально Комитета государственной безопасности КГБ).","https://dic.academic.ru/dic.nsf/dic_synonims/58212/%D0%BA%D0%B0%D0%B3%D0%B5%D0%B1%D0%B8%D1%81%D1%82"
"КАГЭБЭШНИК","Проверяющий","На самом деле пальцы-чужаки оскверняли нас дважды - первым был проверяющий Тихон Модестович, седовласый кагэбэшник с грозно-костлявым лицом - Алиса еще не родилась, а он уже троцкистов чистил!","https://books.google.kz/books?id=u287DwAAQBAJ&pg=PT261&lpg=PT261&dq=%D0%BA%D0%B0%D0%B3%D1%8D%D0%B1%D1%8D%D1%88%D0%BD%D0%B8%D0%BA+%26+%D0%BF%D1%80%D0%BE%D0%B2%D0%B5%D1%80%D1%8F%D1%8E%D1%89%D0%B8%D0%B9&source=bl&ots=pV7sK_0u5L&sig=ACfU3U3JToNRFdwnMD-2Qp3O1dszd7eTMQ&hl=ru&sa=X&ved=2ahUKEwjPzZrh6PvnAhUUrosKHT8xDXgQ6AEwAHoECAcQAQ#v=onepage&q=%D0%BA%D0%B0%D0%B3%D1%8D%D0%B1%D1%8D%D1%88%D0%BD%D0%B8%D0%BA%20%26%20%D0%BF%D1%80%D0%BE%D0%B2%D0%B5%D1%80%D1%8F%D1%8E%D1%89%D0%B8%D0%B9&f=false"
"КАГЭБЭШНИК","Военный","Другой бывший сотрудник КГБ, Сергей Иванов стал министром обороны, а большинство полномочных представителей президента в семи «суперокругах» — бывшие военные или сотрудники спецслужб.","https://echo.msk.ru/inopress/432477-echo.html"
"КАДЫК","Часть тела","По сути, эта часть тела не выполняет никаких медицинских или жизненно важных процессов. Основная цель - защита. Одной из функций кадыка является защита стенок и лобной части гортани щитовидным хрящом. ","https://zen.yandex.ru/media/different_angle/zachem-nujen-kadyk-5dc19ee4df9444901d0392a6"
"КАДЫК","Выпуклость","кадык - выпуклость на передней поверхности шеи у мужчин, образованная щитовидным хрящом гортани.","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%B4%D1%8B%D0%BA"
"КАДЫК","Хрящ","Выступ гортани (кады́к, «адамово яблоко»; лат. prominentia laryngea) — передне-верхняя часть щитовидного хряща, выступающая на передней поверхности шеи, в большей степени у мужчин. ","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%B4%D1%8B%D0%BA"
"КАДЫК","Выступ","кадык - небольшой выступ впереди на шее у мужчин, утолщение щитовидного хряща гортани, адамово яблоко.","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%B4%D1%8B%D0%BA"
"КАДЫК","Анатомическое образование"," Кадык - анатомическое образование, то же, что адамово яблоко .
","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%B4%D1%8B%D0%BA"
"КАЖДЕНИЕ","Ритуал","Напр., в егип. Текстах пирамид сообщается о каждении при погребении фараона. Эти ритуалы обладали особой символикой.","http://www.pravenc.ru/text/1319790.html"
"КАЖДЕНИЕ","Сжигание","Каждение - ритуальное сжигание ладана и других ароматных смол, наделяемое очистительными и апотропеическими свойствами, символизирующее присутствие Бога и возносимые к Нему молитвы. ","http://www.pravenc.ru/text/1319790.html"
"КАЖДЕНИЕ","Воскурение","
каждение - воскурение фимиама, то есть сжигание в специальном сосуде — кадиле — смеси благовонных веществ (в основном смол) перед священными предметами и при совершении жертвоприношения Богу","https://kartaslov.ru/%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D0%B5-%D1%81%D0%BB%D0%BE%D0%B2%D0%B0/%D0%BA%D0%B0%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5"
"КАЖДЕНИЕ","Обряд","В христианстве кадило вошло в число церковной утвари и используется в большинстве богослужебных обрядов. Каждение совершается во время молитвы с апостольских времён.","https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B4%D0%B8%D0%BB%D0%BE"
"КАЖДЕНИЕ","Традиция","По православной традиции в ответ на каждение принято поклониться.","https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B4%D0%B8%D0%BB%D0%BE"
"КАЗЕИН","Молочный продукт","Казеин является одним из основных белков молока, сыров, творога и других молочных продуктов наряду с сывороточными белками ( альбумины и др.).","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%B7%D0%B5%D0%B8%D0%BD"
"КАЗЕИН","Вещество"," казеин - белковое вещество, составная часть молока.","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%B7%D0%B5%D0%B8%D0%BD"
"КАЗЕИН","Белок","КАЗЕИН - сложный белок, образующийся из предшественника казеина - казеиногена при створаживании молока под действием протеолитических ферментов.","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%B7%D0%B5%D0%B8%D0%BD"
"КАЗЕИН","Осадок","После продолжительного стояния казеин осаждается вновь, воду сливают, осадок собирают в полотняный мешок, отжимают и сушат без нагревания между пропускной бумагой.","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%B7%D0%B5%D0%B8%D0%BD"
"КАЗЕИН","Продукция","А пока Федор Семенович имеет в виду, что ваша продукция из казеина имеет прямое отношение к Министерству мясной и молочной промышленности, - вставил референт.","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%B7%D0%B5%D0%B8%D0%BD"
"КАЙНОЗОЙ","Эра","Кайнозой  — текущая эра геологической истории Земли.","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%B9%D0%BD%D0%BE%D0%B7%D0%BE%D0%B9"
"КАЙНОЗОЙ","Эпоха","Кайнозой также можно назвать эпохой саванн, цветковых растений и насекомых.","https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B9%D0%BD%D0%BE%D0%B7%D0%BE%D0%B9"
"КАЙНОЗОЙ","Период","Кайнозойская эра делится на три периода: палеоген , неоген и четвертичный период . В XIX—XX вв. кайнозой делили на третичный и четвертичный периоды.","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%B9%D0%BD%D0%BE%D0%B7%D0%BE%D0%B9"
"КАЙНОЗОЙ","Отложение","Самые древние отложения кайнозоя - это палеоцен и эоцен, продолжавшиеся свыше 20 миллионов лет, затем следует олигоцен длительностью в 16 миллионов лет и, наконец, перед четвертичным периодом был плиоцен, длившийся 6 миллионов лет.","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%B9%D0%BD%D0%BE%D0%B7%D0%BE%D0%B9"
"КАЙНОЗОЙ","Горная порода","Кайнозой - геол. верхняя, наиболее молодая группа отложений горных пород, образование которой соответствует этой эре","https://kartaslov.ru/%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D0%B5-%D1%81%D0%BB%D0%BE%D0%B2%D0%B0/%D0%BA%D0%B0%D0%B9%D0%BD%D0%BE%D0%B7%D0%BE%D0%B9"
"КАКАДУ","Птица"," какаду - птица отряда попугаев с большим хохлом на голове, обитающая в лесах Австралии, Новой Гвинеи и некоторых островов Малайского архипелага.","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%BA%D0%B0%D0%B4%D1%83"
"КАКАДУ","Попугай"," какаду - попугай с хохлом на голове.","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%BA%D0%B0%D0%B4%D1%84"
"КАКАДУ","Род"," какаду -  (малайск., kakatua) (зоол.). Род попугая белого или розового цвета.","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%BA%D0%B0%D0%B4%D1%85"
"КАКАДУ","Семейство","Какаду  — семейство Попугаеобразных . Ранее включали как подсемейство в семейство попугаевых .","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%BA%D0%B0%D0%B4%D1%86"
"КАКАДУ","Племя","Саку и теперь ведет культурную работу среди объединенных племен Какаду и Мукку, но только без библии.","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%BA%D0%B0%D0%B4%D1%87"
"КАЛАН","Млекопитающее","калан -  морское ластоногое млекопитающее сем. куньих, морская выдра.","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%BB%D0%B0%D0%BD"
"КАЛАН","Выдра","калан -  морское ластоногое млекопитающее сем. куньих, морская выдра.","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%BB%D0%B0%D0%BD"
"КАЛАН","Зверь","КАЛАН (камчатский бобр, морская выдра) млекопитающее семейства куньих. Длина тела до 1,5 м, хвоста до 40 Обитает в прибрежной зоне северной части Тихого ок. На суше неуклюж и беспомощен. Ценный пушной зверь. ","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%BB%D0%B0%D0%BD"
"КАЛАН","Хищник","Калан - хищник, к тому же предпочитающий держаться на ограниченной территории, так что в схему ""зайцы-волки"" он хорошо укладывается.","https://www.nkj.ru/archive/articles/11377/"
"КАЛАН","Морское животное","Долгое время считалось, что калан — единственное морское животное, использующее орудия","https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BB%D0%B0%D0%BD"
"КАЛОША","Обувь","Калоши, обувь сверх сапога или башмака, от стужи или от грязи, кенги, папунии, чарки.","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%BB%D0%BE%D1%88%D0%B0"
"КАЛОША","Одежда","Калоши из лыка, чапан и каляпуш. Как менялась национальная одежда татар","https://kazan.aif.ru/culture/kaloshi_iz_lyka_chapan_i_kalyapush_kak_na_samom_dele_vyglyadela_odezhda_tatar"
"КАЛОША","Неудача","Название, очевидно, происходит от выражения «сесть в калошу», что означает «попасть в дурацкое положение», «потерпеть неудачу», «испытать провал» (выражение «посадить кого-либо в калошу» означает «поставить в смешное или неловкое положение»).","https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BB%D0%BE%D1%88%D0%B8"
"КАЛОША","Растяпа","Известно жаргонное калоша 'растяпа, дурак'","https://books.google.kz/books?id=VU5TDwAAQBAJ&pg=PA28&lpg=PA28&dq=%D0%BA%D0%B0%D0%BB%D0%BE%D1%88%D0%B0+%26+%D1%80%D0%B0%D1%81%D1%82%D1%8F%D0%BF%D0%B0&source=bl&ots=76JHbilmrA&sig=ACfU3U1vuwZI9WtLlmXvPr2gasrhKusu4g&hl=ru&sa=X&ved=2ahUKEwjkqZvz6PznAhWcwcQBHZ_ZCn4Q6AEwAHoECAkQAQ#v=onepage&q=%D0%BA%D0%B0%D0%BB%D0%BE%D1%88%D0%B0%20%26%20%D1%80%D0%B0%D1%81%D1%82%D1%8F%D0%BF%D0%B0&f=true"
"КАЛОША","Товар","Из многочисленных предложенных товаров, только калоши выделялись своим качеством",""
"КАЛЬВАДОС","Напиток","Кальвадос  — крепкий алкогольный напиток, вырабатываемый из яблок.","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%BB%D1%8C%D0%B2%D0%B0%D0%B4%D0%BE%D1%81"
"КАЛЬВАДОС","Алкоголь","Покупатели сталкиваются с необычной бутылкой и задаются вопросом, что такое кальвадос. Родина напитка - Франция. Производство алкоголя налажено в Нормандии.","https://zen.yandex.ru/media/spirtnoe/kalvados--chto-eto-za-napitok-i-kak-ego-pit-5b4aebf6a9563500a96cd270"
"КАЛЬВАДОС","Бренди","Кальвадос  — яблочный или грушевый бренди , получаемый путём перегонки сидра , из французского региона Нижняя Нормандия . Крепость — около 40% об.","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%BB%D1%8C%D0%B2%D0%B0%D0%B4%D0%BE%D1%81"
"КАЛЬВАДОС","Настойка","Имитация кальвадоса (яблочная настойка). Приготовление занимает минимум времени и денежных затрат. По запаху настойка слегка похожа на оригинал. Желающим приготовить настоящий домашний кальвадос советую сразу перейти ко второму рецепту.","https://alcofan.com/domashnij-kalvados-recept-i-texnologiya-prigotovleniya.html"
"КАЛЬВАДОС","Дижестив","Как правильно пить кальвадос, который был выдержан более 4 лет, можно узнать на дегустации. Подаются такие напитки в качестве дижестива.","https://zen.yandex.ru/media/spirtnoe/kalvados--chto-eto-za-napitok-i-kak-ego-pit-5b4aebf6a9563500a96cd270"
"КАЛЬКУЛЯЦИЯ","Расчет","калькуляция - представленный в табличной форме бухгалтерский расчет затрат, расходов в денежном выражении на производство и сбыт единицы изделия или партии изделий, а также на осуществление работ и услуг.","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%BB%D1%8C%D0%BA%D1%83%D0%BB%D1%8F%D1%86%D0%B8%D1%8F"
"КАЛЬКУЛЯЦИЯ","Вычисление","калькуляции - вычисление покупной и продажной стоимости товара. ","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%BB%D1%8C%D0%BA%D1%83%D0%BB%D1%8F%D1%86%D0%B8%D1%8F"
"КАЛЬКУЛЯЦИЯ","Показатель","Для производственной сферы этот показатель – основа для формирования цены. База расчета – калькуляция издержек обращения","https://exceltable.com/formuly/kalkulyaciya-sebestoimosti-produkcii-skachat-obrazec"
"КАЛЬКУЛЯЦИЯ","Метод","Методы калькуляции — это методы расчёта производственных издержек, себестоимости готовой продукции, величины объёма незавершённого производства на основании калькуляции затрат.","https://www.audit-it.ru/terms/accounting/kalkulyatsiya.html"
"КАЛЬКУЛЯЦИЯ","Анализ","Политический анализ - это в некотором роде искусство реконструкции не только рациональных, поддающихся квантификации, калькуляции мотивов, интересов людей, но также их иррациональных, подсознательных, неосознанных побуждений, которые невозможно квантифицировать и математизировать, требуют воображения, интуиции, психологического проникновения и т.","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%BB%D1%8C%D0%BA%D1%83%D0%BB%D1%8F%D1%86%D0%B8%D1%8F"
"КАЛЬСОНЫ","Одежда","Кальсоны (фр.  caleçon «кальсоны» от итал. саlzoni «штаны») — мужское нательное бельё, представляющее собой длинные (или укороченные, с манжетом под коленом) исподние штаны. Носятся под брюками для создания благоприятных условий, сохранения тепла, защиты тела от ветра и холода, предохранения верхней одежды от выделений организма. Традиционно мужской вид одежды, но в современности существуют и женские модели. ","https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BB%D1%8C%D1%81%D0%BE%D0%BD%D1%8B"
"КАЛЬСОНЫ","Бельё","В 1930-е годы стали выпускаться всё более и более короткие нижние штаны — трусы ; одновременно сокращался выпуск полукальсон, носимых в тёплую погоду, а кальсоны до щиколоток сохранились как бельё для прохладной или холодной погоды.","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%BB%D1%8C%D1%81%D0%BE%D0%BD%D1%8B"
"КАЛЬСОНЫ","Нижнее Бельё","кальсоны - Мужское нижнее белье в виде длинных штанов.","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%BB%D1%8C%D1%81%D0%BE%D0%BD%D1%8B"
"КАЛЬСОНЫ","Штаны","КАЛЬСОНЫ (франц. calecons) длинные нижние мужские штаны. Слово ""кальсоны"" вытеснило старинное русское слово ""подштанники"" во 2-й пол. 19 в.","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%BB%D1%8C%D1%81%D0%BE%D0%BD%D1%8B"
"КАЛЬСОНЫ","Брюки","Кальсоны были двух видов: короткие для ношения под кюлоты и длинные — для ношения под панталоны и брюки . ","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%BB%D1%8C%D1%81%D0%BE%D0%BD%D1%8B"
"КАМАМБЕР","Сыр","Камамбер  — сорт мягкого жирного сыра , изготавливаемого из коровьего молока .","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%BC%D0%B0%D0%BC%D0%B1%D0%B5%D1%80"
"КАМАМБЕР","Молочный продукт","Сыр камамбер традиционный нормандский французский, молочный продукт","https://ru.freepik.com/premium-photo/camembert-cheese-traditional-normandy-french-dairy-product_4992838.htm"
"КАМАМБЕР","Закуска","Жареный камамбер с медом, орехами и сезонными фруктами. Удивительно простая закуска, которая будет уместна даже в самом изысканном обществе. ","https://www.gastronom.ru/recipe/45911/zharenyj-kamamber-s-medom-orehami-i-sezonnymi-fruktami"
"КАМАМБЕР","Еда","Его любимая еда - сыр камамбер.","https://context.reverso.net/%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4/%D1%80%D1%83%D1%81%D1%81%D0%BA%D0%B8%D0%B9-%D0%B0%D0%BD%D0%B3%D0%BB%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9/%D1%81%D1%8B%D1%80+%D0%BA%D0%B0%D0%BC%D0%B0%D0%BC%D0%B1%D0%B5%D1%80"
"КАМАМБЕР","Деликатес","Знать, как есть камамбер, нужно каждому гурману. Этот деликатес завоевал любовь во всех уголках мира.","https://www.wday.ru/dom-eda/soh/kak-pravilno-podavat-i-est-kamamber/"
"КАМБУЗ","Кухня","камбуз - Кухня на судне.","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%BC%D0%B1%D1%83%D0%B7"
"КАМБУЗ","Комната","Что такое кухня-камбуз? Если комната узкая и маленькая, то специалисты советуют обустраивать кухню по двум рядам, идущим параллельно друг другу, с проходом между ними. Такое оформление места для приготовления еды принято на морских судах, где условия не позволяют «размахнуться», и приходится экономить каждый сантиметр пространства. Отсюда и произошло название «кухня-камбуз».","https://pronovostroy.ru/news/7265972-kukhnia-kambuz-idealnyy-variant-dlia-malenkoy-ploschadi/"
"КАМБУЗ","Помещение","Камбуз  — помещение на судне , соответствующим образом оборудованное и предназначенное для приготовления пищи","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%BC%D0%B1%D1%83%D0%B7"
"КАМБУЗ","Рабочее место","В отличие от кухонного помещения на суше, камбуз специально оборудован для смягчения качки, которая может затруднить процесс приготовления пищи и сделать рабочее место кока более опасным.","https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BC%D0%B1%D1%83%D0%B7"
"КАМБУЗ","Печь","камбуз - Чугунная или железная плита, печь с вделанным в нее котлом на судовой кухне.","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%BC%D0%B1%D1%83%D0%B7"
"КАМЕРГЕР","Звание","камергер (нем. Kammerherr) (офиц. дореволюц. и загр.). Придворное почетное звание в нек-рых монархических государствах (выше камер-юнкера).","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%BC%D0%B5%D1%80%D0%B3%D0%B5%D1%80"
"КАМЕРГЕР","Ранг","камергер -  Придворное звание старшего ранга","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%BC%D0%B5%D1%80%D0%B3%D0%B5%D1%80"
"КАМЕРГЕР","Чин","Камергер - В нек-рых монархических государствах: придворный чин старшего ранга, а также лицо, имеющее этот чин.","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%BC%D0%B5%D1%80%D0%B3%D0%B5%D1%80"
"КАМЕРГЕР","Должность","В 1830 году, апреля 30, Загоскин перемещен в должность управляющего Конторою императорских московских театров, а в 1831 – произведен в коллежские советники, определен в должность директора Московских театров и пожалован в звание действительного камергера двора его императорского величества. ","https://kartaslov.ru/%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D0%B5-%D1%81%D0%BB%D0%BE%D0%B2%D0%B0/%D0%BA%D0%B0%D0%BC%D0%B5%D1%80%D0%B3%D0%B5%D1%80"
"КАМЕРГЕР","Дворянин","При царском дворе Московского государства функции камергеров выполняли стряпчий с ключом, комнатные стольники и спальники, а также комнатные дворяне.","https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BC%D0%B5%D1%80%D0%B3%D0%B5%D1%80"
"КАМЕРДИНЕР","Служитель","

камердинер - Комнатный служитель при господине.
","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%BC%D0%B5%D1%80%D0%B4%D0%B8%D0%BD%D0%B5%D1%80"
"КАМЕРДИНЕР","Слуга","камердинер - Слуга при господине в богатом дворянском доме.","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%BC%D0%B5%D1%80%D0%B4%D0%B8%D0%BD%D0%B5%D1%80"
"КАМЕРДИНЕР","Должность","Должность камердинера, дворецкого и буфетчика занимает семидесятилетний слуга Поликарп, чудак необыкновенный, человек начитанный, отставной скрипач и поклонник Виотти, личный враг Наполеона, или, как он говорит, Бонапартишки, и страстный охотник до соловьев.","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%BC%D0%B5%D1%80%D0%B4%D0%B8%D0%BD%D0%B5%D1%80"
"КАМЕРДИНЕР","Прислуга","камердинер -  комнатная прислуга при господине в богатом дворянском доме","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%BC%D0%B5%D1%80%D0%B4%D0%B8%D0%BD%D0%B5%D1%80"
"КАМЕРДИНЕР","Помощник","Будучи камердинером и личным помощником Бенедикта XVI, он был одним из немногих людей, имевших доступ в его частные апартаменты и не являвшихся при этом священнослужителями.","https://www.pravda.ru/news/world/1116289-kamerdiner/"
"КАМИЛАВКА","Одежда","Затем на постриженного надеваются, без произнесения слов, ряса и камилавка. Посвященный в рясу называется рясофорным. Ряса – это одежда покаяния","https://monasterium.ru/monashestvo/novonachalnomu/402-posledovanie-odeyaniya-ryasy-i-kamilavki/"
"КАМИЛАВКА","Головный убор","камилавки - Высокий головной убор православных священников, жалуемый за отличие.","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%BC%D0%B8%D0%BB%D0%B0%D0%B2%D0%BA%D0%B0"
"КАМИЛАВКА","Шапка","Камилавка  — головной убор в Православной церкви тёмно-синего, фиолетового или чёрного цветов в виде расширяющегося кверху цилиндра , является наградой для священников . Первоначально — это шапка, наподобие турецкой фески , из верблюжьей шерсти, которую носили в странах Ближнего Востока для защиты от солнца .","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%BC%D0%B8%D0%BB%D0%B0%D0%B2%D0%BA%D0%B0"
